ticker,date,totalvol,retailvol
AAPL,10/8/2020,83477153,43548535
AAPL,10/9/2020,100506865,47430761
AAPL,10/12/2020,240226769,130710375
AAPL,10/13/2020,262330451,154549794
AAPL,10/14/2020,151062308,88433466
AAPL,10/15/2020,112559219,61654959
AAPL,10/16/2020,115393808,59741876
AAPL,10/19/2020,120639337,65568958
AAPL,10/20/2020,124423728,74507571
AAPL,10/21/2020,89945980,47000163
AAPL,10/22/2020,101987954,52357363
AAPL,10/23/2020,82572645,43322039
AAPL,10/26/2020,111850657,56366987
AAPL,10/27/2020,92276772,48875215
AAPL,10/28/2020,143937823,71331530
AAPL,10/29/2020,146129173,65471125
AAPL,10/30/2020,190573476,92502868
AAPL,11/2/2020,122866899,62820002
AAPL,11/3/2020,107624448,53856456
AAPL,11/4/2020,138235482,59997495
AAPL,11/5/2020,126387074,60969842
AAPL,11/6/2020,114457922,55670789
AAPL,11/9/2020,154515315,61783651
AAPL,11/10/2020,138023390,68562415
AAPL,11/11/2020,112294954,57934399
AAPL,11/12/2020,103350674,51318650
AAPL,11/13/2020,81688586,37779689
AAPL,11/16/2020,91183018,41040448
AAPL,11/17/2020,74270973,33651692
AAPL,11/18/2020,76322111,35548507
AAPL,11/19/2020,74112972,33218088
AAPL,11/20/2020,73604287,32396522
AAPL,11/23/2020,127959318,61876065
AAPL,11/24/2020,113874218,52105623
AAPL,11/25/2020,76499234,36758078
AAPL,11/27/2020,46691331,21154393
AAPL,11/30/2020,169410176,72543440
AAPL,12/1/2020,128166803,61949406
AAPL,12/2/2020,89004195,45908537
AAPL,12/3/2020,78967630,37741071
AAPL,12/4/2020,78260421,41302816
AAPL,12/7/2020,86711990,44062584
AAPL,12/8/2020,82225512,40269570
AAPL,12/9/2020,115089193,53340975
AAPL,12/10/2020,81312170,38978947
AAPL,12/11/2020,86939786,41273794
AAPL,12/14/2020,79075988,33315199
AAPL,12/15/2020,157572262,73607766
AAPL,12/16/2020,98208591,49326872
AAPL,12/17/2020,94359811,47976879
AAPL,12/18/2020,192541496,60074592
AAPL,12/21/2020,121251553,57966039
AAPL,12/22/2020,169351825,93836344
AAPL,12/23/2020,88223692,46412992
AAPL,12/24/2020,54930064,32711027
AAPL,12/28/2020,124486237,68536343
AAPL,12/29/2020,121047324,67332727
